,num,zipcode,name,latitude,longitude,geohash,geohash_5,geohash_6,population_bucket,population_bucket_label
2452,8623.0,41903,Cuervo de Sevilla,36.8534583,-6.0388327,eye9,eye9w,eye9ws,"(5000, 10000]",5
2453,72.0,44092,Cuervo,42.1265508,-2.8351735,ezmz,ezmzx,ezmzxk,"(0, 100]",1
2454,72.0,42073,Cueva de Ágreda,41.7636557,-1.8878804,ezqt,ezqtt,ezqtt4,"(0, 100]",1
2455,101.0,9117,Cueva de Roa,41.6673939,-3.9405223,ezmj,ezmjn,ezmjn3,"(100, 500]",2
2456,35.0,16079,Cueva del Hierro,40.5828632,-2.0359702,eznw,eznwc,eznwce,"(0, 100]",1
2457,1353.0,29047,Cuevas Bajas,37.2355805,-4.4884171,eysg,eysgc,eysgcf,"(1000, 5000]",4
2458,126.0,44093,Cuevas de Almudén,40.7132549,-0.8290206,ezpr,ezprt,ezprt5,"(100, 500]",2
2459,129.0,40905,Cuevas de Provanco,41.5423781,-3.9623463,ezmh,ezmhm,ezmhmf,"(100, 500]",2
2460,41.0,9119,Cuevas de San Clemente,42.1300713,-3.5688189,ezmr,ezmrw,ezmrwv,"(0, 100]",1
2461,3632.0,29049,Cuevas de San Marcos,37.2679779,-4.4141396,eysu,eysu5,eysu58,"(1000, 5000]",4
2462,14790.0,4035,Cuevas del Almanzora,37.2961366,-1.8807223,eyws,eywsj,eywsjj,"(10000, 50000]",6
2463,1609.0,29048,Cuevas del Becerro,36.87586,-5.0440091,eys3,eys3v,eys3v1,"(1000, 5000]",4
2464,1767.0,18912,Cuevas del Campo,37.6086165,-2.9316473,eytv,eytvv,eytvvq,"(1000, 5000]",4
2465,523.0,5066,Cuevas del Valle,40.2940067,-5.0097762,ezhm,ezhmj,ezhmjz,"(500, 1000]",3
2466,133.0,44094,Cuevas Labradas,40.4536135,-1.0508498,ezpq,ezpq0,ezpq0h,"(100, 500]",2
2467,499.0,12051,Culla,40.3373914,-0.1651408,ezpv,ezpvk,ezpvkp,"(100, 500]",2
